"feedback","translation"
"Kde je pes a diamant? Vyber obrázek, který je mezi nimi.","Where is the dog and the diamond? Choose the picture that is between them."
"Що означає всі між фермером і салатом?","What does ""all between the farmer and the lettuce"" mean?"
"Všechny mezi broučkem a svíčkou.","All between the little bug and the candle."
"Co znamená všechny mezi hroznem a kuřecím stehnem?","What does ""all between the grapes and the chicken drumstick"" mean?"
"Kde jsou kalhoty a kuřecí stehno? Vyber obrázek, který je mezi nimi.","Where are the pants and the chicken drumstick? Choose the picture that is between them."
"Co znamená všechny mezi listem a trumpetou?","What does ""all between the leaf and the trumpet"" mean?"
"Kde je žirafa a tramvaj? Vyber všechny obrázky, které jsou mezi nimi.","Where is the giraffe and the tram? Choose all the pictures that are between them."
"Kde je jelen a kelímek? Vyber obrázky, které jsou mezi nimi.","Where is the deer and the cup? Choose the pictures that are between them."
"Co znamená mezi rostlinou a tramvají?","What does ""between the plant and the tram"" mean?"
"Všechny mezi rostlinou a kukuřicí.","All between the plant and the corn."
"Všechny mezi lízátkem a kuřecím stehnem.","All the pictures between the lollipop and the chicken drumstick."
"Kde je labuť a zebra? Vyber všechny obrázky, které jsou mezi nimi.","Where is the swan and the zebra? Select all the pictures that are between them."
"Kde je pavouk a kde je jahoda? Vyber obrázky, které jsou mezi nimi.","Where is the spider and where is the strawberry? Select the pictures that are between them."
"Kde je housenka a balónek? Vyber obrázky, které jsou mezi nimi.","Where is the caterpillar and the balloon? Select the pictures that are between them."
"Držet ovoce znamená mít v ruce nebo tlapce něco, co roste na stromě a můžeme to jíst, třeba jablko nebo banán.","Holding fruit means having something in your hand or paw that grows on a tree and we can eat it, like an apple or a banana."
"Všechny mezi pavučinou a housenkou.","All the pictures between the spider web and the caterpillar."
"Všechny mezi žirafou a hrošíkem.","All the pictures between the giraffe and the little hippo."
"Co znamená mezi žirafou a hrošíkem?","What does “between the giraffe and the little hippo” mean?"
"Kde je medvídek a kuřecí stehno? Vyber obrázky, které jsou mezi nimi.","Where is the teddy bear and the chicken drumstick? Select the pictures that are between them."
"Kde je vejce a medvídek? Vyber obrázky, které jsou mezi nimi.","Where is the egg and the teddy bear? Select the pictures that are between them."
"Kde je ovce a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the sheep and the little hippo? Choose all the pictures that are between them."
"Co znamená všechny mezi kalhotami a dortem?","What does “all between the pants and the cake” mean?"
"Kiedy nie ma kapelusza, to znaczy, że nie ma nic na głowie.","When there’s no hat, it means there’s nothing on your head."
"Wiesz, co znaczy w prawym dolnym polu?","Do you know what “in the bottom right box” means?"
"Co znamená všechny mezi jelenem a zebrou?","What does “all between the deer and the zebra” mean?"
"Všechny mezi mouchou a zmrzlinou.","All between the fly and the ice cream."
"Co znamená mezi motýlem a trumpetou?","What does “between the butterfly and the trumpet” mean?"
"Kde je králík a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the rabbit and the little hippo? Choose all the pictures that are between them."
"Držet ovoce znamená mít v ruce nebo v tlapce nějaké jablko, banán nebo jiný plod.","Holding fruit means having an apple, banana, or another fruit in your hand or paw."
"Kde je kýbl a kde je jahoda? Vyber obrázek, který je mezi nimi.","Where is the bucket and where is the strawberry? Choose the picture that is between them."
"Kde je vejce a lízátko? Vyber všechny obrázky, které jsou mezi nimi.","Where is the egg and the lollipop? Select all the pictures that are between them."
"Co znamená všechny mezi kyticí a mrkví?","What does “all between the bouquet and the carrot” mean?"
"Co znamená mezi listnatým stromem a medvídkem?","What does “between the leafy tree and the teddy bear” mean?"
"Keresd meg azt a mozdonyt, amelyik egyes hangot ad ki! Biztos vagy benne, hogy egy kép van a vagonon és egyes szám van rajta?","Find the train that makes the number one sound! Are you sure there’s one picture on the wagon and the number one on it?"
"Všechny mezi jehličnatým stromem a kalhotami.","All between the pine tree and the pants."
"Co znamená všechny mezi lízátkem a balónkem?","What does “all between the lollipop and the balloon” mean?"
"Все между яблоком и букетом.","Everything between the apple and the bouquet."
"Выбери последний.","Choose the last one."
"Если в синей коробке должно быть на одну картинку больше, то сколько должно быть в красной?","If the blue box should have one more picture, how many should be in the red one?"
"Не нужно просто добавить одну, в синей коробке должно быть на одну картинку больше, чем в красной.","You don't just need to add one. There should be one more picture in the blue box than in the red box."
"Všechny mezi autobusem a mrkví.","All the pictures between the bus and the carrot."
"Všechny mezi kuřecím stehnem a princeznou.","All the pictures between the chicken drumstick and the princess."
"Co znamená mezi jablkem a dortem?","What does ""between the apple and the cake"" mean?"
"Co znamená všechny mezi tričkem a balónkem?","What does ""all the pictures between the T-shirt and the balloon"" mean?"
"Kde je brokolice a dort? Vyber obrázky, které jsou mezi nimi.","Where are the broccoli and the cake? Choose the pictures that are between them."
"Kde je farmář a vrtulník? Vyber obrázek, který je mezi nimi.","Where are the farmer and the helicopter? Choose the picture that is between them."
"Картинка перед останньою.","The picture before the last one."
"Co znamená všechny mezi listem a princeznou?","What does ""all the pictures between the leaf and the princess"" mean?"
"Kde je vejce a pes? Vyber všechny obrázky, které jsou mezi nimi.","Where are the egg and the dog? Choose all the pictures that are between them."
"Všechny mezi tričkem a vrtulníkem.","All the ones between the T-shirt and the helicopter."
"Kde jsou šaty a netopýr? Vyber obrázek, který je mezi nimi.","Where are the dress and the bat? Pick the picture that is between them."
"Kde je housenka a zmrzlina? Vyber všechny obrázky, které jsou mezi nimi.","Where are the caterpillar and the ice cream? Pick all the pictures that are between them."
"Kde je listnatý strom a salát? Vyber všechny obrázky, které jsou mezi nimi.","Where are the leafy tree and the lettuce? Pick all the pictures that are between them."
"Co znamená všechny mezi vejcem a tramvají?","What does “all the ones between the egg and the tram” mean?"
"Co znamená všechny mezi kalhotami a vrtulníkem?","What does “all the ones between the pants and the helicopter” mean?"
"Všechny mezi labutí a lízátkem.","All the ones between the swan and the lollipop."
"Všechny mezi pavoukem a hroznem.","All the ones between the spider and the grapes."
"Kde je lízátko a meloun? Vyber všechny obrázky, které jsou mezi nimi.","Where are the lollipop and the watermelon? Pick all the pictures that are between them."
"Co znamená mezi lízátkem a diamantem?","What does “between the lollipop and the diamond” mean?"
"Kde je žirafa a motýl? Vyber všechny obrázky, které jsou mezi nimi.","Where is the giraffe and the butterfly? Select all the pictures that are between them."
"Kde je králík a balónek? Vyber obrázek, který je mezi nimi.","Where is the rabbit and the balloon? Select the picture that is between them."
"Co znamená všechny mezi pavučinou a kočkou?","What does all between the spider web and the cat mean?"
"Co znamená všechny mezi kelímkem a diamantem?","What does all between the cup and the diamond mean?"
"Kde je lanovka a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the cable car and the ice cream? Select the picture that is between them."
"Kde je kachna a motýl? Vyber všechny obrázky, které jsou mezi nimi.","Where is the duck and the butterfly? Select all the pictures that are between them."
"Co znamená všechny mezi okurkou a salátem?","What does all between the cucumber and the lettuce mean?"
"Kde je hrozen a kukuřice? Vyber obrázek, který je mezi nimi.","Where is the grapes and the corn? Select the picture that is between them."
"Kde je pavučina a hrozen? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider web and the grapes? Select all the pictures that are between them."
"Що означає всі між свічкою та полуницею?","What does “all between the candle and the strawberry” mean?"
"Cung cấp văn bản và/hoặc hình ảnh để tôi làm theo yêu cầu của bạn.","Please provide text and/or an image so I can follow your instructions."
"Бугын ба цэцгийн хооронд байгаа бүх зургуудыг.","All the pictures between the deer and the flower."
"Бугын ба цэцгийн хооронд гэж юу вэ?","What does “between the deer and the flower” mean?"
"Гурав гэсэн тооны дуугардаг галт тэрэг олоорой. Чи түүний вагонд гурван зураг, гурван тоо байгаа гэдэгт итгэлтэй байна уу?","Find the train that makes the sound “three.” Are you sure it has three pictures and three numbers in its carriage?"
"Kde je kuřecí stehno a kytice? Vyber obrázky, které jsou mezi nimi.","Where is the chicken drumstick and where is the bouquet? Pick the pictures that are between them."
"Kde je prasátko a kde je trumpeta? Vyber všechny obrázky, které jsou mezi nimi.","Where is the piglet and where is the trumpet? Pick all the pictures that are between them."
"První už znáš. Kde jsou všechny obrázky, které jsou za ním?","You already know the first one. Where are all the pictures that come after it?"
"On the left in the middle. That means the picture goes on the left side, not at the top or bottom, but right in the middle.","On the left in the middle. That means the picture goes on the left side, not at the top or bottom, but right in the middle."
"Všechny mezi farmářem a jablkem.","All between the farmer and the apple."
"Všechny mezi divokým prasetem a psem.","All the ones between the wild boar and the dog."
"Co znamená všechny mezi listnatým stromem a dortem?","What does it mean, all the ones between the leafy tree and the cake?"
"Kde je jehličnatý strom a jablko? Vyber obrázek, který je mezi nimi.","Where is the pine tree and the apple? Pick the picture that is between them."
"Co znamená všechny mezi rostlinou a tramvají?","What does it mean, all the ones between the plant and the tram?"
"Kde jsou šaty a jednorožec? Vyber obrázek, který je mezi nimi.","Where are the dress and the unicorn? Pick the picture that is between them."
"Všechny mezi javorovým listem a salátem.","All the ones between the maple leaf and the lettuce."
"Co znamená všechny mezi jablkem a jednorožcem?","What does it mean, all the ones between the apple and the unicorn?"
"Všechny mezi princeznou a kyticí.","All the ones between the princess and the bouquet."
"Co znamená všechny mezi princeznou a kyticí?","What does it mean, all the ones between the princess and the bouquet?"
"Kde je jehličnatý strom a zmrzlina? Vyber všechny obrázky, které jsou mezi nimi.","Where is the pine tree and the ice cream? Pick all the pictures that are between them."
"Všechny mezi pavučinou a kuřecím stehnem.","All the things between the spider web and the chicken leg."
"Všechny mezi taškou a hrošíkem.","All the things between the bag and the little hippo."
"Kde je taška a hrošík? Vyber obrázek, který je mezi nimi.","Where is the bag and the little hippo? Pick the picture that is between them."
"Všechny mezi vajíčkem a svíčkou.","All the things between the egg and the candle."
"Co znamená všechny mezi mouchou a rostlinou?","What does “all the things between the fly and the plant” mean?"
"Všechny mezi žirafou a kuřecím stehnem.","All the things between the giraffe and the chicken leg."
"Co znamená všechny mezi princeznou a jahodou?","What does “all the things between the princess and the strawberry” mean?"
"Co znamená všechny mezi žirafou a kalhotami?","What does “all the things between the giraffe and the pants” mean?"
"Co znamená všechny mezi drakem a jahodou?","What does “all the things between the dragon and the strawberry” mean?"
"Co znamená všechny mezi ovcí a šaty?","What does “all the things between the sheep and the dress” mean?"
"Všechny mezi jablkem a svíčkou.","All the pictures between the apple and the candle."
"Kde je divoké prase a kýbl? Vyber obrázky, které jsou mezi nimi.","Where is the wild boar and the bucket? Choose the pictures that are between them."
"Kde je kelímek a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cup and the diamond? Pick all the pictures that are between them."
"What does ""all before the last one"" mean?","What does ""all before the last one"" mean?"
"In the gray box there are four pictures. Where are two pictures less?","There are four pictures in the gray box. Where are there two fewer pictures?"
"Co znamená všechny mezi tričkem a hroznem?","What does ""all between the T-shirt and the grapes"" mean?"
"Це остання картинка. Яка перед нею?","This is the last picture. Which one is just before it?"
"Kde je rostlina a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the plant and the little hippo? Pick all the pictures that are between them."
"Všechny mezi pavoukem a kalhotami.","All the pictures between the spider and the pants."
"Kde je pavouk a kde jsou kalhoty? Vyber obrázky, které jsou mezi nimi.","Where is the spider and where are the pants? Choose the pictures that are between them."
"Co znamená všechny mezi prasátkem a jablkem?","What does it mean, all the pictures between the piglet and the apple?"
"Kde je prasátko a kde je jablko? Vyber všechny obrázky, které jsou mezi nimi.","Where is the piglet and where is the apple? Choose all the pictures that are between them."
"Kde jsou kalhoty a meloun? Vyber obrázky, které jsou mezi nimi.","Where are the pants and the watermelon? Choose the pictures that are between them."
"Саарал хүрээнд гурван зураг байна. Хоёр зураг цөөн хаана байна?","There are three pictures in the gray frame. Where are there two fewer pictures?"
"Саарал хүрээнд таван зураг байна. Хаана хоёр зураг цөөн байна?","There are five pictures in the gray frame. Where are there two fewer pictures?"
"Co znamená všechny mezi tramvají a mrkví?","What does it mean, all the pictures between the tram and the carrot?"
"Co znamená mezi motýlem a jednorožcem?","What does it mean, between the butterfly and the unicorn?"
"Эхний зургийг мэднэ биз дээ? Түүний дараах бүх зургуудыг сонгоорой.","You know the first picture, right? Choose all the pictures that come after it."
"Далавчтай гэж юу вэ?","What does it mean to have wings?"
"Малгайгүй гэж юу гэсэн үг вэ?","What does it mean without a hat?"
"Гурав гэсэн тооны дуугаар галт тэрэг олоорой. Чи түүний вагонуудад гурван зураг, гурван тоо байгаа гэдэгт итгэлтэй байна уу?","Listen for the sound of the number three and find the train. Are you sure there are three pictures and three numbers in its carriages?"
"Kde je trumpeta a kytice? Vyber všechny obrázky, které jsou mezi nimi.","Where is the trumpet and the bouquet? Choose all the pictures that are between them."
"Що означає всі між відром та принцесою?","What does it mean, all between the bucket and the princess?"
"Прямо перед третім зображенням.","Right before the third picture."
"Všechny mezi brokolicí a vrtulníkem.","All between the broccoli and the helicopter."
"Слева посередине означает, что что-то находится с левой стороны и прямо посередине, не вверху и не внизу.","""Left in the middle"" means something is on the left side and right in the middle—not at the top or bottom."
"Kde je autobus a kuřecí stehno? Vyber obrázek, který je mezi nimi.","Where is the bus and the chicken drumstick? Choose the picture that is between them."
"Co znamená všechny mezi listem a kuřecím stehnem?","What does it mean, all between the leaf and the chicken drumstick?"
"Kde je jablko a jahoda? Vyber všechny obrázky, které jsou mezi nimi.","Where is the apple and the strawberry? Choose all the pictures that are between them."
"Co znamená všechny mezi kalhotami a kukuřicí?","What does it mean, all between the pants and the corn?"
"Першу вже знаєш. Які всі картинки після неї?","You already know the first one. What are all the pictures that come after it?"
"Де штани і морозиво? Вибери картинки, які між ними.","Where are the pants and the ice cream? Choose the pictures that are between them."
"Co znamená všechny mezi trumpetou a mrkví?","What does it mean, all the ones between the trumpet and the carrot?"
"Kde je kočka a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cat and where is the diamond? Pick all the pictures that are between them."
"Що означає по центру справа?","What does “in the center on the right” mean?"
"Де яблуко і де букет? Обери всі картинки, які між ними.","Where is the apple and where is the bouquet? Choose all the pictures that are between them."
"Co znamená mezi trumpetou a netopýrem?","What does it mean, between the trumpet and the bat?"
"Kde je trumpeta a netopýr? Vyber obrázek, který je mezi nimi.","Where is the trumpet and where is the bat? Pick the picture that is between them."
"Kde je kaštan a králík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the chestnut and where is the rabbit? Pick all the pictures that are between them."
"Kde je ovce a kde je kytice? Vyber všechny obrázky, které jsou mezi nimi.","Where is the sheep and where is the bouquet? Select all the pictures that are between them."
"Co znamená všechny mezi kaštanem a kalhotami?","What does “all between the chestnut and the pants” mean?"
"Všechny mezi kachnou a jelenem.","All between the duck and the deer."
"Kde je komár a bonbón? Vyber všechny obrázky, které jsou mezi nimi.","Where is the mosquito and the candy? Select all the pictures that are between them."
"Všechny mezi farmářem a autobusem.","All between the farmer and the bus."
"Co znamená všechny mezi farmářem a autobusem?","What does “all between the farmer and the bus” mean?"
"Co znamená mezi brokolicí a kelímkem?","What does “between the broccoli and the cup” mean?"
"Všechny mezi listnatým stromem a jelenem.","All between the leafy tree and the deer."
"Kde je listnatý strom a jelen? Vyber obrázek, který je mezi nimi.","Where is the leafy tree and the deer? Select the picture that is between them."
"Kde je pes a zmrzlina? Vyber všechny obrázky, které jsou mezi nimi.","Where is the dog and the ice cream? Select all the pictures that are between them."
"Kde jsou kalhoty a dort? Vyber obrázek, který je mezi nimi.","Where are the pants and the cake? Choose the picture that is between them."
"Co znamená všechny mezi labutí a kukuřicí?","What does ""all between the swan and the corn"" mean?"
"Kde je labuť a kukuřice? Vyber obrázek, který je mezi nimi.","Where is the swan and the corn? Choose the picture that is between them."
"Všechny mezi pavoukem a hrošíkem.","All between the spider and the little hippo."
"Kde je pavouk a hrošík? Vyber obrázky, které jsou mezi nimi.","Where is the spider and the little hippo? Choose the pictures that are between them."
"Kde je žirafa a drak? Vyber obrázky, které jsou mezi nimi.","Where is the giraffe and the dragon? Choose the pictures that are between them."
"Kde je okurka a bonbón? Vyber všechny obrázky, které jsou mezi nimi.","Where is the cucumber and the candy? Choose all the pictures that are between them."
"Kde je bonbón a kde je dort? Vyber obrázek, který je mezi nimi.","Where is the candy and where is the cake? Choose the picture that is between them."
"Kde je jehličnatý strom a králík? Vyber všechny obrázky, které jsou mezi nimi.","Where is the pine tree and the rabbit? Choose all the pictures that are between them."
"Co znamená mezi psem a kyticí?","What does ""between the dog and the bouquet"" mean?"
"Kde je jablko a netopýr? Vyber obrázky, které jsou mezi nimi.","Where is the apple and the bat? Choose the pictures that are between them."
"Všechny mezi kaštanem a jablkem.","All the ones between the chestnut and the apple."
"Коли це не тварина, то це може бути людина або щось інше.","If it’s not an animal, it could be a person or something else."
"Co znamená všechny mezi jehličnatým stromem a tričkem?","What does “all the ones between the pine tree and the T-shirt” mean?"
"Všechny mezi jednorožcem a melounem.","All the ones between the unicorn and the watermelon."
"Kde je pavouk a salát? Vyber obrázek, který je mezi nimi.","Where is the spider and the lettuce? Choose the picture that is between them."
"Kde je jelen a lízátko? Vyber všechny obrázky, které jsou mezi nimi.","Where is the deer and the lollipop? Choose all the pictures that are between them."
"Kde je list a kde je meloun? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leaf and where is the watermelon? Choose all the pictures that are between them."
"Kde je pavouk a kde je rostlina? Vyber obrázky, které jsou mezi nimi.","Where is the spider and where is the plant? Choose the pictures that are between them."
"Kde je list a vrtulník? Vyber obrázek, který je mezi nimi.","Where is the leaf and the helicopter? Choose the picture that is between them."
"Všechny mezi drakem a květinou.","All the ones between the dragon and the flower."
"Podívej se, kde jsou čtyři obrázky v rámečku vedle sebe.","Look for where there are four pictures in a row inside a box."
"Co znamená všechny mezi kaštanem a kyticí?","What does “all the ones between the chestnut and the bouquet” mean?"
"Co znamená všechny mezi jehličnatým stromem a zebrou?","What does “all the ones between the pine tree and the zebra” mean?"
"Co znamená mezi kukuřicí a tramvají?","What does “between the corn and the tram” mean?"
"Všechny mezi krávou a hroznem.","All the ones between the cow and the grapes."
"Co znamená všechny mezi okurkou a králíkem?","What does “all the ones between the cucumber and the rabbit” mean?"
"Co znamená všechny mezi mouchou a hrošíkem?","What does “all the ones between the fly and the little hippo” mean?"
"Co znamená všechny mezi medvídkem a tramvají?","What does “all the ones between the teddy bear and the tram” mean?"
"Co znamená všechny mezi mouchou a kukuřicí?","What does “all the ones between the fly and the corn” mean?"
"Kde je kaštan a lízátko? Vyber obrázky, které jsou mezi nimi.","Where is the chestnut and the lollipop? Choose the pictures that are between them."
"Kde je králík a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the rabbit and the diamond? Choose all the pictures that are between them."
"Co znamená mezi mouchou a zebrou?","What does “between the fly and the zebra” mean?"
"Co znamená všechny mezi jednorožcem a kukuřicí?","What does “all between the unicorn and the corn” mean?"
"Kde je divoké prase a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the wild boar and the ice cream? Choose the picture that is between them."
"Kde je vrtulník a kde je mrkev? Vyber obrázky, které jsou mezi nimi.","Where is the helicopter and where is the carrot? Choose the pictures that are between them."
"Kde je divoké prase a salát? Vyber všechny obrázky, které jsou mezi nimi.","Where is the wild boar and the lettuce? Choose all the pictures that are between them."
"Všechny mezi žirafou a brokolicí.","All between the giraffe and the broccoli."
"Де фермер і канатна дорога? Вибери всі картинки, які між ними.","Where is the farmer and the cable car? Choose all the pictures that are between them."
"Những con cá sấu đang ở dưới nước.","The crocodiles are in the water."
"Co znamená všechny mezi farmářem a hrošíkem?","What does “all between the farmer and the little hippo” mean?"
"Kde je farmář a hrošík? Vyber všechny obrázky, které jsou mezi nimi.","Where are the farmer and the little hippo? Choose all the pictures that are between them."
"Știi ce înseamnă sus, în stânga?","Do you know what “up, on the left” means?"
"Co znamená všechny mezi lízátkem a hrošíkem?","What does “all between the lollipop and the little hippo” mean?"
"Co znamená všechny mezi kaštanem a netopýrem?","What does “all between the chestnut and the bat” mean?"
"Kde je jelen a meloun? Vyber obrázky, které jsou mezi nimi.","Where are the deer and the watermelon? Choose the pictures that are between them."
"Co znamená všechny mezi svíčkou a melounem?","What does “all between the candle and the watermelon” mean?"
"Що означає всі між автобусом і кажаном?","What does “all between the bus and the bat” mean?"
"Những con vật biết bay.","Animals that can fly."
"Усі між другою і четвертою.","All between the second and the fourth."
"मक्खी और ड्रैगन के बीच कौन-कौन सी तस्वीरें हैं? उन्हें चुनो।","Which pictures are between the fly and the dragon? Choose them."
"Kde je listnatý strom a kuřecí stehno? Vyber všechny obrázky, které jsou mezi nimi.","Where is the leafy tree and the chicken drumstick? Select all the pictures that are between them."
"Co znamená všechny mezi listem a kukuřicí?","What does “all between the leaf and the corn” mean?"
"Con đã đếm hết tất cả các hình chưa? Con đã chọn đúng số chưa?","Have you counted all the pictures? Did you choose the right number?"
"Tất cả trước hình cuối cùng nghĩa là gì?","What does “all before the last picture” mean?"
"All after the first picture.","All after the first picture."
"Co znamená mezi bonbónem a diamantem?","What does “between the candy and the diamond” mean?"
"Kde je žirafa a divoké prase? Vyber obrázek, který je mezi nimi.","Where is the giraffe and the wild boar? Choose the picture that is between them."
"Všechny mezi tričkem a jelenem.","All between the T-shirt and the deer."
"Co znamená všechny mezi kaštanem a medvídkem?","What does “all between the chestnut and the teddy bear” mean?"
"Všechny mezi zebrou a hrošíkem.","All the ones between the zebra and the little hippo."
"Усі між кроликом і букетом.","All the ones between the rabbit and the bouquet."
"Усі між листком і морозивом.","All the ones between the leaf and the ice cream."
"Що означає всі між листком і морозивом?","What does “all the ones between the leaf and the ice cream” mean?"
"Co znamená všechny mezi kelímkem a tramvají?","What does “all the ones between the cup and the tram” mean?"
"Kde je pes a balónek? Vyber obrázky, které jsou mezi nimi.","Where is the dog and the balloon? Pick the pictures that are between them."
"Co znamená všechny mezi kalhotami a trumpetou?","What does “all the ones between the pants and the trumpet” mean?"
"Kde je lízátko a hrošík? Vyber obrázky, které jsou mezi nimi.","Where is the lollipop and the little hippo? Pick the pictures that are between them."
"Co znamená všechny mezi pavučinou a balónkem?","What does “all the ones between the spider web and the balloon” mean?"
"Všechny mezi jelenem a jahodou.","All the ones between the deer and the strawberry."
"Co znamená všechny mezi králíkem a hroznem?","What does “all the pictures between the rabbit and the grape” mean?"
"Kde je kukuřice a meloun? Vyber obrázek, který je mezi nimi.","Where are the corn and the watermelon? Choose the picture that is between them."
"Podívej se, kde jsou tři obrázky vedle sebe.","Look for where there are three pictures in a row."
"Kde je kráva a trumpeta? Vyber všechny obrázky, které jsou mezi nimi.","Where are the cow and the trumpet? Choose all the pictures that are between them."
"Kde jsou kalhoty a salát? Vyber všechny obrázky, které jsou mezi nimi.","Where are the pants and the lettuce? Choose all the pictures that are between them."
"Paráda!","Awesome!"
"Ještě nad tím popřemýšlej.","Think about it a little more."
"Zkus se ještě zamyslet.","Try to think about it again."
"Devátý obrázek.","The ninth picture."
"Najdi číslo, které je mezi číslem pět a číslem deset.","Find the number that comes between five and ten."
"V šedém rámečku je osm obrázků. Kde je o dva obrázky více?","There are eight pictures in the gray box. Where are there two more pictures?"
"Hned před druhým obrázkem.","Right before the second picture."
"Co znamená mezi šestým a desátým obrázkem?","What does it mean to be between the sixth and tenth picture?"
"Kde je šestý obrázek a desátý obrázek? Vyber všechny obrázky, které jsou mezi nimi.","Where is the sixth picture and the tenth picture? Select all the pictures that are between them."
"Víš, co znamená o jeden méně?","Do you know what “one less” means?"
"Všechny mezi jednorožcem a tramvají.","All the pictures between the unicorn and the tram."
"Najdi číslo, které je mezi číslem čtyři a číslem devět.","Find the number that comes between four and nine."
"Najdi číslo, které je mezi číslem tři a číslem osm.","Find the number that comes between three and eight."
"Hned za třetím.","Right after the third one."
"Najdi číslo, které je mezi číslem šest a číslem deset.","Find the number that comes between six and ten."
"Víš, kde je poslední obrázek? Které všechny obrázky jsou před ním?","Do you know where the last picture is? Which pictures come before it?"
"V šedém rámečku jsou dva obrázky. Kde je o dva obrázky více?","There are two pictures in the gray box. Where are there two more pictures?"
"Víš, co znamená o dva více?","Do you know what “two more” means?"
"Mít peří znamená mít na těle jemné chloupky, které pomáhají být v teple.","Having feathers means having soft little hairs on your body that help keep you warm."
"Hned za devátým obrázkem.","Right after the ninth picture."
"Co znamená všechny mezi kachnou a diamantem?","What does “all between the duck and the diamond” mean?"
"Co znamená všechny mezi šaty a hrošíkem?","What does “all between the dress and the little hippo” mean?"
"Být na trávě znamená ležet nebo stát na zelených lístcích, co rostou na zemi.","To be on the grass means to lie down or stand on the green leaves that grow on the ground."
"Není to zvíře, nemá čepici a stojí.","It’s not an animal, it doesn’t have a hat, and it’s standing."
"Poslední.","The last one."
"Kde je rostlina a kde je zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the plant and where is the ice cream? Choose the picture that is between them."
"Když má čepici, tak co to znamená?","If it has a hat, what does that mean?"
"Víš, co znamená vlevo dole?","Do you know what “bottom left” means?"
"Všechny mezi jehličnatým stromem a salátem.","All the ones between the pine tree and the lettuce."
"Hned za druhým.","Right after the second one."
"Všechny mezi prasátkem a melounem.","All the ones between the piglet and the watermelon."
"Nestojí znamená, že nemá nohy na zemi a třeba sedí nebo leží.","Not standing means its feet aren’t on the ground—it might be sitting or lying down."
"Všechny mezi psem a svíčkou.","All the ones between the dog and the candle."
"Když stojí, tak co to znamená?","When it’s standing, what does that mean?"
"Co znamená všechny mezi labutí a kočkou?","What does “all between the swan and the cat” mean?"
"Co znamená hned za třetím?","What does “right after the third one” mean?"
"První obrázek.","The first picture."
"Víš jistě, že máš v modrém rámečku méně obrázků než v červeném?","Are you sure you have fewer pictures in the blue box than in the red box?"
"Všechny mezi psem a balónkem.","All between the dog and the balloon."
"Co znamená všechny mezi psem a balónkem?","What does “all between the dog and the balloon” mean?"
"Co znamená všechny mezi vejcem a netopýrem?","What does “all between the egg and the bat” mean?"
"Hned za šestým.","Right after the sixth one."
"Це не тварина, у капелюсі, і вона сидить.","This is not an animal, it’s wearing a hat, and it’s sitting down."
"Знайди локомотив зі звуком числа три. Ти точно знаєш, що в нього є вагончики з трьома малюнками і з числом три?","Find the train with the sound of the number three. Are you sure it has carriages with three pictures and the number three?"
"Kde je kachna a brokolice? Vyber obrázek, který je mezi nimi.","Where is the duck and the broccoli? Choose the picture that is between them."
"Kde je pes a mrkev? Vyber všechny obrázky, které jsou mezi nimi.","Where is the dog and the carrot? Choose all the pictures that are between them."
"Co znamená hned za osmým?","What does “right after the eighth” mean?"
"Знайди локомотив зі звуком числа один. Ти впевнений, що в нього є вагончики з одним малюнком і з числом один?","Find the train with the sound of the number one. Are you sure it has carriages with one picture and the number one?"
"Яку картинку вибрати після сьомої?","Which picture should you choose after the seventh one?"
"V obou rámečcích je sice více obrázků než v šedém, ale jen v jednom je přesně o jeden více. Ve kterém?","Both boxes have more pictures than the gray one, but only one box has exactly one more. Which one is it?"
"Co znamená všechny mezi pavoukem a rostlinou?","What does “all between the spider and the plant” mean?"
"Všechny mezi motýlem a hrošíkem.","All the pictures between the butterfly and the little hippo."
"Všechny mezi kyticí a tramvají.","All the pictures between the bouquet and the tram."
"Kde je autobus a diamant? Vyber všechny obrázky, které jsou mezi nimi.","Where is the bus and the diamond? Select all the pictures that are between them."
"Kde je jednorožec a mrkev? Vyber všechny obrázky, které jsou mezi nimi.","Where is the unicorn and the carrot? Select all the pictures that are between them."
"Všechny mezi kaštanem a kočkou.","All the pictures between the chestnut and the cat."
"Všechny mezi krávou a psem.","All the pictures between the cow and the dog."
"Co znamená všechny mezi autobusem a zmrzlinou?","What does “all the pictures between the bus and the ice cream” mean?"
"Všechny mezi kuřecím stehnem a diamantem.","All the pictures between the chicken drumstick and the diamond."
"Vlevo nahoře znamená, že něco je úplně na levé straně a úplně nahoře.","Top left means something is all the way on the left and all the way at the top."
"Co znamená mezi okurkou a zebrou?","What does “between the cucumber and the zebra” mean?"
"Všechny mezi motýlem a princeznou.","All the pictures between the butterfly and the princess."
